SBD, Toan, Van, Ly, Hoa, Sinh, Anh
19000631,7.6,4.75,5.75,5.5,6.75,9.6
19000634,9,6.75,7.5,8.5,4.25,8.2
19000635,9.6,6,7.75,5.5,4,9.2
19000637,9.2,7.25,8.25,5,4.25,9.4
19000640,8.8,6.75,9,10,3,8.6
19000644,9,8,7.75,4,4.75,8.8
19000645,8.8,7.75,7.75,8,6.5,7.4
19000647,8.4,7.5,7.75,6,3.75,8.8
19000648,8.8,7.5,8.25,2.5,4,9.4
19000650,8.4,7,9,7.25,5.5,5.4
19000652,9.4,4.25,8.5,8.5,3.25,4.4
19000653,8.8,6.75,8.75,9,6,8
19000654,8.6,7.25,8,4.5,3.5,9.4
19000655,8.6,6.5,7.25,5.25,5,9
19000656,8.2,7.75,6.75,5.5,5,9.4
19000657,8.8,7,7.5,6.25,4.5,9.2
19000659,8.8,6.75,8.25,8,2.75,6.6
19000660,8.4,6.75,8.25,4.25,3.75,9.6
19000661,8.2,5.5,8,7.5,5.5,7
19000664,7.6,7,5.5,5.25,3.25,10
19000666,8.2,6.25,7.5,2.5,4.5,10
19000668,9.2,6.25,8.25,7.75,5,9.2
19000670,7.4,6,6.25,5,4,9.2
19000671,8.2,8,7.75,8.5,4,9.8
19000673,9.2,6.75,8.5,7.75,6.75,9.8
19000674,8.6,8,7.75,4.75,4,9.6
19000675,8.6,6.75,6.25,5,4.75,9.8
19000677,6.8,6.25,6.75,7,3.75,9.4
19000678,8,5,8.25,4.75,5.75,9.4
19000682,7.4,4.75,5.75,3.25,4.25,9
19000683,8.8,5.75,8.25,4.5,4.25,9.6
19000685,7,5.5,4.5,3.5,4.75,9.4
19000687,8.8,6.75,7.75,8.25,5.25,9.6
19000688,8,8.25,7.5,4.5,5.75,9.4
19000690,7.8,7,6.5,6.5,5,8.6
19000692,8.4,6.25,7.75,7.75,5,8.8
19000693,8.2,5,7.25,3.5,3.75,9
19000694,8.2,7.75,7,5.5,4.75,9
19000695,9.4,4,7.75,7.75,4.5,6.6
19000696,8.2,8.25,7.25,3.25,5,9
19000699,8.6,6,8.25,3.25,2.75,9.4
19000700,7.2,7,9,4.5,4.5,8.6
19000704,8.8,6.75,6.5,5.75,5,8
19000705,8,6,7.5,3.5,5.25,8
19000706,8.6,7.75,5.25,8,5,9
19000709,8.4,5.25,5,5.25,4.25,6.8
19000710,7.8,6.5,8,2.25,4.5,9.4
19000711,8.6,4.25,8.5,8.75,4.25,6.6
19000712,7.6,5.25,7,4.5,3,7.2
19000713,8.6,5.75,7.75,7.75,3.75,4.8
19000714,8.6,6,7.75,5.5,4.25,8.8
19000715,8.4,6.5,7.75,3.5,2.75,8.8
19000716,8.8,6.5,8.5,6.75,6.5,9.8
19000717,8.6,6.5,8,3.25,4.5,9.6
19000718,7.8,5.5,6.5,3.75,5,9.6
19000723,8.8,7.5,8.25,4,4.5,9.6
19000725,8.2,7.5,7.75,8.75,5.5,8.6
19000729,8.2,7.25,8.75,4.75,5.5,8.8
19000732,8.6,7.5,7.75,4.5,4.5,9.4
19000733,8.6,7,8.75,6,3.75,9.6
